,outputs,gt,train_loss,error,outputs_b,gt,train_loss,error
175,1233.032079,1226.5,900.211792,-0.005297574,1244.688482,1270.9333,10689.44141,0.021085451
176,1228.876486,1230.95,340.0762329,0.001687325,1262.122876,1275.197375,6850.42334,0.010359134
177,1227.896262,1216.65,177.7133942,-0.009158968,1349.088937,1279.5,736.5710449,-0.051582172
178,1225.711833,1209.2,160.6532745,-0.013471219,1300.174511,1157.3933,2390.339111,-0.109816959
179,1219.52879,1206.55,493.2464905,-0.010642463,1253.52493,1192.469143,13459,-0.048707278
180,1201.167158,1202.65,721.4867554,0.001234501,1232.89691,1192.09,13915.15332,-0.033098396
181,1208.113059,1202.65,756.2371826,-0.004521977,1216.624552,1179.159875,13017.48242,-0.030793951
182,1198.654311,1202.65,218.8371582,0.003333479,1198.876347,1227.494625,9228.541992,0.023870917
183,1203.813199,1204.2,66.48977661,0.000321313,1188.454366,1227.68,3029.603271,0.033005587
184,1203.025275,1204.6,26.95026016,0.001308971,1196.886562,1245.370786,2220.265869,0.040508621
185,1203.546205,1198.8,11.29663849,-0.003943517,1214.759827,1257.399625,3385.958984,0.035101423
186,1189.543887,1229.35,31.3367157,0.033463341,1228.21816,1257,3814.850342,0.023433817
187,1201.976702,1229.6,930.7374878,0.022981559,1194.851535,1091.171888,1054.787231,-0.086771992
188,1213.066356,1229.6,1389.233643,0.013629629,1216.948291,952.2323625,21775.8125,-0.217524385
189,1220.160993,1229.6,1427.992798,0.00773587,1180.358046,967.69,78563.29688,-0.180172488
190,1226.665907,1232.4,1051.698486,0.004674535,1115.418003,1049.084488,92234.45313,-0.059469647
191,1254.485488,1241.6,71.21965027,-0.010271532,1065.066679,1118.630043,61186.89844,0.05029109
192,1232.88644,1249.05,315.1972046,0.01311034,1038.915097,1113,22767.04297,0.071309873
193,1237.443018,1247.5,442.2083435,0.008127228,1041.134723,1038.789,24739.65039,-0.002253044
194,1242.538862,1247.5,470.1922913,0.003992743,1056.803938,941.9197143,15193.77148,-0.108709118
195,1248.858747,1247.5,286.9715576,-0.001087991,1051.022856,927.93,20058.17383,-0.117117202
196,1256.603923,1247.5,55.99767303,-0.007244863,921.6518452,956.7863125,31841.23047,0.038121192
197,1254.362147,1257.55,26.88262558,0.002541414,1003.497742,1037.22925,28562.11328,0.033613935
198,1249.162914,1257.25,124.7068481,0.006474004,980.6711032,1041.04,11286.73242,0.06155876
199,1252.67364,1251.1,186.5831146,-0.001256225,980.4036009,1040.5755,11213.92773,0.061374621
200,1253.966226,1248.8,163.1633148,-0.004119908,1000.641696,1037.90455,11272.31836,0.037238958
201,1253.156219,1244.85,147.1511383,-0.006628239,1017.441188,1034.74,5444.803711,0.017002272
202,1258.297059,1244.85,197.3068695,-0.010686713,972.599365,1086.929571,259.0632935,0.117551183
203,1247.207419,1244.85,202.1559753,-0.001890158,1054.630782,1099.169125,5333.032227,0.042231218
204,1245.893069,1247.25,57.60631561,0.001089123,1060.030073,1079.99,3597.510498,0.018829586
205,1245.732064,1257.65,25.48417091,0.009567014,1067.912885,1141.600363,3314.321777,0.069001394
206,1248.578286,1245.8,202.1683807,-0.00222516,1088.393503,1133.079314,5963.580566,0.041056668
