,outputs,gt
229,"[1265.9574312840195, 1265.2177706833754, 1265.275456970703, 1266.5196231662412, 1266.767554835642]",1266.45
230,"[1264.763841148524, 1264.8274226688955, 1266.1003168483148, 1266.4084550371263, 1253.5727158363443]",1266.45
231,"[1264.7074680553487, 1265.9979352036316, 1266.3135610052632, 1253.0432321978878, 1258.4950588457286]",1266.45
232,"[1265.9310051135253, 1266.243421938234, 1252.6833830717806, 1258.159088979388, 1250.4903357937]",1266.45
233,"[1266.3540552378618, 1252.4972542134492, 1258.0918345527025, 1250.0641401469184, 1243.2469724421971]",1255.45
234,"[1252.2645174783975, 1258.0155121134303, 1249.818356755859, 1242.5757482673507, 1236.5985921030806]",1250.3
235,"[1257.8169226377795, 1249.4706668605213, 1242.0823698140448, 1235.7587315352284, 1232.5139529527078]",1228.45
236,"[1249.0728540623386, 1241.5793291144073, 1235.1314403866709, 1231.6096270851122, 1230.6242289318907]",1228.05
237,"[1241.0050293480745, 1234.4627827460063, 1230.8718239941372, 1229.9081658951618, 1229.0867239843792]",1228.05
238,"[1233.6813485739403, 1230.0571758503065, 1229.0757029846573, 1228.259998032634, 1217.316103099758]",1228.05
239,"[1229.4484543314175, 1228.4370888911799, 1227.6046259806753, 1216.3228010732564, 1220.6652562489035]",1229.8
240,"[1227.8384825364192, 1226.9815620648878, 1215.4733235529275, 1219.8319323442702, 1207.3961614892614]",1220.4
241,"[1226.9435169699573, 1215.1939059119031, 1219.645772165968, 1206.693930292633, 1227.281765659005]",1222.95
242,"[1214.8981751895335, 1219.4742186309595, 1206.2679002597724, 1227.3582927330426, 1229.2276351105393]",1223.15
243,"[1219.2798608467274, 1205.8398177766503, 1227.350815949947, 1229.3378810103022, 1230.8236350942752]",1231.25
244,"[1205.351627821583, 1227.3258933396282, 1229.3519549549528, 1230.9661337838625, 1233.251003175974]",1231.25
245,"[1227.232506852728, 1229.2861299429933, 1230.932414958137, 1233.2846149802208, 1236.8860684335232]",1231.25
246,"[1229.4855108255433, 1231.1473358212388, 1233.5447028279305, 1237.2847132384777, 1243.497759848833]",1233.3
